keys,en,fr,es
GRAFT_GRAFTED_CARAPACE_DESC,"Colossus plating fused to your skin: heavy armor and contact retaliation — but you grow slow.","La plaque du Colosse fusionnée à ta peau : armure lourde et représailles au contact — mais tu deviens lent.","La placa del Coloso fusionada a tu piel: armadura pesada y represalia al contacto, pero te vuelves lento."
GRAFT_STALKER_WAVE_NAME,Stalker Wave,Onde du Rôdeur,Onda del Acechador
GRAFT_STALKER_WAVE_DESC,"The Stalker's hunting pulse, now yours: a periodic shockwave that sweeps and pushes back the swarm.","L'onde de chasse du Rôdeur, désormais tienne : une onde de choc périodique qui balaie et repousse la nuée.","El pulso de caza del Acechador, ahora tuyo: una onda de choque periódica que barre y repele al enjambre."
GRAFT_FUSION_CHARGE_BLINDEE_NAME,Armored Charge,Charge Blindée,Carga Blindada
GRAFT_FUSION_CHARGE_BLINDEE_DESC,"Your dash becomes an armored charge: barrel through, tank the hits, knock enemies aside. The tank moves again.","Ton dash devient une charge blindée : traverse, encaisse et projette. Le tank qui bouge à nouveau.","Tu embestida se vuelve una carga blindada: atraviesa, aguanta y proyecta. El tanque que vuelve a moverse."
GRAFT_FUSION_RUCHE_TOURELLES_NAME,Turret Hive,Ruche de Tourelles,Colmena de Torretas
GRAFT_FUSION_RUCHE_TOURELLES_DESC,"Your 4 swarms freeze into turrets firing in 360°. Still steals HP — now from range.","Tes 4 essaims se figent en tourelles qui tirent à 360°. Vole encore des PV, mais à distance.","Tus 4 enjambres se congelan en torretas que disparan a 360°. Aún roba PV, pero a distancia."
GRAFT_FUSION_NOVA_RODEUR_NAME,Nova Strike,Frappe Nova,Golpe Nova
GRAFT_FUSION_NOVA_RODEUR_DESC,"Your dash becomes an offensive blink: teleport in and detonate a nova on arrival. The passive wave becomes a burst you aim.","Ta ruade devient une téléportation offensive : tu blinkes et détones une nova à l'arrivée. L'onde passive devient un burst que tu vises.","Tu embestida se vuelve un parpadeo ofensivo: te teletransportas y detonas una nova al llegar. La onda pasiva se vuelve una ráfaga que apuntas."
BIOME_AFFINITY_SANCTUAIRE,Stable affinity — +12% graft damage,Affinité Stable — +12% de dégâts de greffe,Afinidad Estable — +12% de daño de injerto
BIOME_AFFINITY_AETHER,Resonant affinity — +20% graft range,Affinité Résonante — +20% de portée de greffe,Afinidad Resonante — +20% de alcance de injerto
BIOME_AFFINITY_FOURNAISE,Ardent affinity — grafts set enemies ablaze,Affinité Ardente — les greffes enflamment,Afinidad Ardiente — los injertos incendian
BIOME_AFFINITY_GIVRE,Glacial affinity — grafts slow enemies,Affinité Glaciale — les greffes ralentissent,Afinidad Glacial — los injertos ralentizan
BIOME_AFFINITY_NEON,Overcharged affinity — −18% graft cooldown,Affinité Surchargée — −18% de cooldown de greffe,Afinidad Sobrecargada — −18% de enfriamiento de injerto
CHAL_UNLOCKED_BANNER,Challenge complete,Défi accompli,Desafío completado
CHAL_AND_MORE,+{0} more,+{0} autres,+{0} más
CHAL_FIRST_BLOOD_NAME,First Blood,Premier Sang,Primera Sangre
CHAL_FIRST_BLOOD_DESC,Kill 100 enemies in a single run,Tue 100 ennemis en une seule run,Mata 100 enemigos en una sola partida
CHAL_SURVIVOR_5_NAME,Field Tested,Éprouvé au combat,Probado en combate
CHAL_SURVIVOR_5_DESC,Survive 5 minutes in a single run,Survis 5 minutes en une seule run,Sobrevive 5 minutos en una sola partida
CHAL_SURVIVOR_13_NAME,The Long Watch,La Longue Veille,La Larga Vigilia
CHAL_SURVIVOR_13_DESC,Survive 13 minutes in a single run,Survis 13 minutes en une seule run,Sobrevive 13 minutos en una sola partida
CHAL_CORE_HARVEST_NAME,Core Harvester,Moissonneur de Noyaux,Cosechador de Núcleos
CHAL_CORE_HARVEST_DESC,Collect 15 Aether Cores in a single run,Collecte 15 Noyaux d'Aether en une seule run,Recolecta 15 Núcleos de Éter en una sola partida
CHAL_FIRST_GRAFT_NAME,First Mutation,Première Mutation,Primera Mutación
CHAL_FIRST_GRAFT_DESC,Assimilate a graft in a run,Assimile une greffe en une run,Asimila un injerto en una partida
CHAL_FULL_CHIMERA_NAME,Full Chimera,Pleine Chimère,Quimera Completa
CHAL_FULL_CHIMERA_DESC,Equip 3 grafts at once in a single run,Équipe 3 greffes à la fois en une seule run,Equipa 3 injertos a la vez en una sola partida
CHAL_FORGE_FUSION_NAME,Fusion Forged,Fusion Forgée,Fusión Forjada
CHAL_FORGE_FUSION_DESC,Forge a graft fusion in a run,Forge une fusion de greffes en une run,Forja una fusión de injertos en una partida
CHAL_FIRST_CLEAR_NAME,Sector Cleared,Secteur Nettoyé,Sector Despejado
CHAL_FIRST_CLEAR_DESC,Defeat a level boss,Bats un boss de fin de niveau,Derrota a un jefe de nivel
CHAL_CLEAR_NEON_NAME,Neon Conqueror,Conquérant Néon,Conquistador Neón
CHAL_CLEAR_NEON_DESC,Clear the Neon Sector,Termine le Secteur Néon,Completa el Sector Neón
CHAL_CLEAR_HARD_NAME,No Mercy,Sans Pitié,Sin Piedad
CHAL_CLEAR_HARD_DESC,Clear a level on Hard difficulty,Termine un niveau en difficulté Difficile,Completa un nivel en dificultad Difícil
CHAL_ALL_BIOMES_NAME,World Eater,Dévoreur de Mondes,Devorador de Mundos
CHAL_ALL_BIOMES_DESC,Complete all 5 biomes,Termine les 5 biomes,Completa los 5 biomas
CHAL_VETERAN_NAME,Veteran,Vétéran,Veterano
CHAL_VETERAN_DESC,Play 25 runs,Joue 25 runs,Juega 25 partidas
CHAL_EXTERMINATOR_NAME,Exterminator,Exterminateur,Exterminador
CHAL_EXTERMINATOR_DESC,Kill 10000 enemies total,Tue 10000 ennemis au total,Mata 10000 enemigos en total
MENU_CHALLENGES,Challenges,Défis,Desafíos
CHALLENGES_TITLE,CHALLENGES,DÉFIS,DESAFÍOS
CHALLENGES_INTRO,Complete objectives in-game to earn Echoes and unlock starting perks and titles. Each challenge is validated at the end of a run.,Accomplis des objectifs en jeu pour gagner des Échos et débloquer des perks de départ et des titres. Chaque défi se valide en fin de run.,Completa objetivos en el juego para ganar Ecos y desbloquear ventajas iniciales y títulos. Cada desafío se valida al final de una partida.
CHALLENGES_PROGRESS,Completed: {0} / {1},Accomplis : {0} / {1},Completados: {0} / {1}
CHAL_STATUS_DONE,✓ Completed,✓ Accompli,✓ Completado
CHAL_STATUS_TODO,To do,À accomplir,Por hacer
CHAL_REWARD_ECHOES,Reward: +{0} Echoes,Récompense : +{0} Échos,Recompensa: +{0} Ecos
CHAL_REWARD_PERK,Reward: starting perk,Récompense : perk de départ,Recompensa: ventaja inicial
CHAL_REWARD_COSMETIC,Reward: title,Récompense : titre,Recompensa: título
HUB_PERKS,Starting perk,Perk de départ,Ventaja inicial
HUB_PERK_NONE,None,Aucun,Ninguna
PERK_GRAFT_SWARM_NAME,Symbiotic Start,Départ Symbiotique,Inicio Simbiótico
PERK_GRAFT_SWARM_DESC,Start each run with the Symbiotic Swarm graft equipped.,Commence chaque run avec la greffe Nuée Symbiotique équipée.,Comienza cada partida con el injerto Enjambre Simbiótico equipado.
PERK_WEAPON_GLAIVE_NAME,Glaive Loadout,Panoplie Glaive,Equipo de Guja
PERK_WEAPON_GLAIVE_DESC,Start each run with the Glaive as a second weapon.,Commence chaque run avec le Glaive en seconde arme.,Comienza cada partida con la Guja como segunda arma.
PERK_EXTRA_SLOT_NAME,Extra Graft Slot,Emplacement Bonus,Espacio Extra
PERK_EXTRA_SLOT_DESC,Start each run with +1 graft slot.,Commence chaque run avec +1 emplacement de greffe.,Comienza cada partida con +1 espacio de injerto.
